timestamp_unix,timestamp_utc,lat,lon,alt_ft,groundspeed_kt,type,isolated
1780149159,2026-05-30T13:52:39+00:00,44.181713,12.10272,1325,0,,False
1780149197,2026-05-30T13:53:17+00:00,44.165787,12.141624,2425,120,,False
1780149218,2026-05-30T13:53:38+00:00,44.152042,12.171217,3100,250,,False
1780149230,2026-05-30T13:53:50+00:00,44.154045,12.172903,3600,180,,False
1780149239,2026-05-30T13:53:59+00:00,44.158482,12.169514,3875,110,,False
1780149241,2026-05-30T13:54:01+00:00,44.160545,12.167956,4000,217,,False
1780149249,2026-05-30T13:54:09+00:00,44.153152,12.185186,4225,107,,False
1780149251,2026-05-30T13:54:11+00:00,44.153164,12.187101,4300,133,,False
1780149254,2026-05-30T13:54:14+00:00,44.153599,12.189321,4375,128,,False
1780149257,2026-05-30T13:54:17+00:00,44.154507,12.192623,4450,135,,False
1780149259,2026-05-30T13:54:19+00:00,44.154591,12.194798,4550,143,,False
1780149261,2026-05-30T13:54:21+00:00,44.154758,12.196065,4625,143,,False
1780149263,2026-05-30T13:54:23+00:00,44.155598,12.19803,4700,134,,False
1780149266,2026-05-30T13:54:26+00:00,44.156017,12.199861,4800,138,,False
1780149268,2026-05-30T13:54:28+00:00,44.156784,12.201849,4875,138,,False
1780149270,2026-05-30T13:54:30+00:00,44.157047,12.203182,4950,136,,False
1780149274,2026-05-30T13:54:34+00:00,44.157829,12.206587,5075,141,,False
1780149276,2026-05-30T13:54:36+00:00,44.158566,12.208312,5125,138,,False
1780149279,2026-05-30T13:54:39+00:00,44.159367,12.210443,5175,137,,False
1780149282,2026-05-30T13:54:42+00:00,44.16008,12.212788,5250,138,,False
1780149284,2026-05-30T13:54:44+00:00,44.160671,12.214687,5325,137,,False
1780149287,2026-05-30T13:54:47+00:00,44.161816,12.217548,5450,136,,False
1780149289,2026-05-30T13:54:49+00:00,44.162395,12.219171,5525,135,,False
1780149293,2026-05-30T13:54:53+00:00,44.163433,12.221995,5650,139,,False
1780149296,2026-05-30T13:54:56+00:00,44.164238,12.224292,5700,139,,False
1780149298,2026-05-30T13:54:58+00:00,44.164856,12.226279,5800,137,,False
1780149300,2026-05-30T13:55:00+00:00,44.16547,12.227656,5850,142,,False
1780149304,2026-05-30T13:55:04+00:00,44.166584,12.231359,5975,142,,False
1780149319,2026-05-30T13:55:19+00:00,44.170368,12.243357,6450,139,,False
1780149333,2026-05-30T13:55:33+00:00,44.174595,12.256426,6875,146,,False
1780149339,2026-05-30T13:55:39+00:00,44.175358,12.259626,7125,141,,False
